price,country,wine_type,grape,style,rating
2.16,Chile,Rosé,Sauvignon Blanc,Smooth,86.1
27.72,Spain,Red,Sangiovese,Rich,94.9
3.52,Australia,White,Chardonnay,Complex,93.1
11.22,Argentina,Rosé,Grenache,Smooth,85.5
18.72,USA,White,Syrah,Rich,94.0
7.17,Italy,Red,Grenache,Rich,91.7
16.69,Spain,Red,Sauvignon Blanc,Complex,98.5
4.31,USA,Rosé,Cabernet Sauvignon,Rich,93.1
10.79,Chile,Red,Syrah,Elegant,93.6
5.1,Italy,White,Merlot,Fresh,89.9
17.54,Chile,Red,Riesling,Elegant,93.4
4.28,Argentina,White,Pinot Noir,Elegant,90.3
11.63,Australia,Rosé,Cabernet Sauvignon,Rich,93.2
8.64,Chile,Red,Chardonnay,Crisp,90.5
1.53,Spain,White,Syrah,Smooth,86.8
8.68,Spain,Rosé,Tempranillo,Elegant,88.1
13.88,USA,Rosé,Merlot,Rich,92.3
12.45,Italy,White,Tempranillo,Complex,96.2
11.38,USA,Rosé,Cabernet Sauvignon,Crisp,87.4
5.67,Italy,White,Riesling,Smooth,91.4
19.98,Italy,Rosé,Sauvignon Blanc,Complex,94.6
8.23,Argentina,Rosé,Riesling,Bold,90.2
7.8,USA,Red,Grenache,Smooth,89.2
6.64,Spain,White,Pinot Noir,Rich,87.7
4.16,Australia,White,Pinot Noir,Crisp,84.6
13.2,Chile,Red,Merlot,Bold,93.3
16.86,Spain,White,Chardonnay,Rich,89.5
6.9,Australia,Rosé,Grenache,Crisp,86.7
8.8,Australia,Red,Sangiovese,Crisp,91.7
2.83,Spain,Rosé,Tempranillo,Fresh,85.6
37.95,Argentina,White,Chardonnay,Fresh,91.2
3.92,France,Rosé,Tempranillo,Elegant,92.2
1.52,Spain,Rosé,Chardonnay,Light,85.2
7.23,USA,Rosé,Merlot,Rich,93.4
7.51,USA,Rosé,Sauvignon Blanc,Fresh,89.9
16.09,France,Red,Syrah,Smooth,93.6
7.1,Italy,Rosé,Tempranillo,Elegant,92.0
11.91,Spain,White,Chardonnay,Smooth,90.5
29.54,USA,Rosé,Syrah,Bold,92.0
19.55,Chile,White,Sauvignon Blanc,Rich,94.7
6.15,France,White,Riesling,Smooth,89.8
39.17,France,Rosé,Tempranillo,Fresh,90.9
13.55,France,Rosé,Grenache,Elegant,90.7
20.5,USA,Rosé,Syrah,Crisp,88.0
8.96,France,Rosé,Syrah,Crisp,90.9
19.79,Italy,Rosé,Tempranillo,Crisp,90.6
9.78,Italy,Rosé,Syrah,Rich,92.0
9.07,USA,Red,Pinot Noir,Rich,92.5
28.41,Argentina,Red,Tempranillo,Complex,97.6
1.8,Argentina,White,Cabernet Sauvignon,Crisp,85.0
8.85,Chile,White,Cabernet Sauvignon,Elegant,92.0
12.72,Chile,Red,Cabernet Sauvignon,Rich,97.9
1.88,Australia,Rosé,Riesling,Complex,92.0
18.06,Spain,Rosé,Grenache,Rich,90.7
8.31,Argentina,White,Sangiovese,Elegant,89.5
28.44,Argentina,White,Sangiovese,Fresh,92.9
32.12,Spain,Rosé,Merlot,Smooth,92.5
9.07,France,White,Sauvignon Blanc,Crisp,91.7
9.09,Chile,Red,Sauvignon Blanc,Rich,88.9
15.06,Spain,Red,Merlot,Complex,97.3
32.79,Spain,White,Tempranillo,Smooth,90.7
7.79,Argentina,Rosé,Riesling,Bold,89.8
9.63,Italy,Rosé,Grenache,Rich,90.5
4.21,Chile,White,Sauvignon Blanc,Smooth,88.0
40.89,Italy,Red,Cabernet Sauvignon,Crisp,93.2
6.44,Spain,White,Merlot,Rich,90.8
22.07,Italy,White,Riesling,Light,94.9
6.84,Australia,Rosé,Riesling,Smooth,89.2
7.87,USA,Rosé,Chardonnay,Crisp,88.6
4.31,Italy,White,Pinot Noir,Elegant,93.6
23.32,France,White,Syrah,Crisp,91.0
20.58,Australia,Red,Pinot Noir,Light,89.0
68.32,Spain,White,Pinot Noir,Complex,95.5
3.84,Australia,Red,Cabernet Sauvignon,Bold,93.5
3.58,USA,Rosé,Cabernet Sauvignon,Light,88.6
29.95,Italy,White,Riesling,Rich,94.1
47.45,Italy,Rosé,Chardonnay,Crisp,92.7
15.01,Spain,Red,Grenache,Crisp,92.0
49.39,France,Red,Grenache,Light,98.6
8.15,France,Red,Tempranillo,Fresh,93.7
6.51,Australia,Rosé,Merlot,Complex,90.4
5.59,Chile,White,Cabernet Sauvignon,Crisp,83.7
3.08,Argentina,White,Merlot,Elegant,91.8
10.94,Argentina,Red,Sangiovese,Elegant,88.0
15.87,Argentina,Rosé,Sangiovese,Crisp,83.6
8.89,Australia,White,Syrah,Fresh,93.3
6.5,Chile,Red,Syrah,Light,86.0
10.13,Australia,White,Riesling,Light,92.5
165.4,Spain,Red,Merlot,Light,96.1
40.42,Italy,Red,Chardonnay,Elegant,97.4
7.01,Chile,Rosé,Cabernet Sauvignon,Fresh,87.9
21.97,Australia,Red,Sauvignon Blanc,Rich,93.9
18.81,Argentina,Rosé,Chardonnay,Crisp,86.8
9.35,USA,Rosé,Sangiovese,Light,88.2
2.19,Argentina,White,Chardonnay,Complex,90.6
7.14,Argentina,Red,Chardonnay,Elegant,93.9
13.05,Argentina,Red,Cabernet Sauvignon,Bold,87.7
8.33,France,White,Sauvignon Blanc,Light,93.3
9.4,Spain,White,Syrah,Fresh,92.1
5.04,Australia,Rosé,Chardonnay,Fresh,89.0
1.34,Argentina,Red,Merlot,Bold,86.7
13.33,Chile,White,Cabernet Sauvignon,Elegant,95.7
9.73,Italy,Rosé,Pinot Noir,Smooth,91.4
9.94,Spain,White,Tempranillo,Fresh,89.9
6.35,Chile,Rosé,Sangiovese,Complex,88.9
11.81,France,White,Cabernet Sauvignon,Crisp,92.4
6.19,Italy,Red,Merlot,Light,94.1
27.44,Italy,Red,Cabernet Sauvignon,Bold,95.1
9.31,Italy,Red,Tempranillo,Bold,91.9
24.21,Argentina,White,Cabernet Sauvignon,Fresh,90.9
9.59,France,Rosé,Syrah,Crisp,90.4
99.15,Australia,Rosé,Grenache,Smooth,92.0
16.12,France,Red,Syrah,Elegant,97.7
11.68,Spain,White,Syrah,Fresh,93.4
4.24,Italy,Red,Pinot Noir,Crisp,89.5
10.51,Italy,Rosé,Merlot,Complex,92.3
11.93,Argentina,Red,Sangiovese,Smooth,89.8
13.79,France,Red,Merlot,Light,95.6
15.4,USA,Red,Grenache,Bold,94.5
6.68,Chile,Rosé,Tempranillo,Elegant,89.6
3.81,Spain,White,Merlot,Elegant,87.9
8.92,Argentina,White,Sangiovese,Fresh,91.5
13.24,France,White,Grenache,Bold,93.0
2.15,Italy,Red,Pinot Noir,Bold,91.1
20.8,Spain,Rosé,Syrah,Fresh,89.2
15.44,France,Rosé,Pinot Noir,Bold,94.4
22.81,Australia,Red,Riesling,Elegant,95.9
11.31,Australia,Rosé,Riesling,Complex,90.4
7.36,Australia,Rosé,Merlot,Elegant,89.0
16.76,Spain,Rosé,Cabernet Sauvignon,Light,90.9
5.89,Italy,Rosé,Merlot,Elegant,94.6
7.2,Chile,Red,Pinot Noir,Elegant,93.7
6.36,Chile,Red,Sauvignon Blanc,Light,90.2
24.99,Argentina,White,Grenache,Fresh,88.9
19.91,Argentina,Rosé,Riesling,Complex,94.0
15.0,USA,Red,Sangiovese,Rich,93.3
3.13,Australia,Red,Pinot Noir,Fresh,88.8
7.92,Italy,White,Syrah,Complex,94.3
12.86,Argentina,Red,Tempranillo,Complex,91.2
7.13,Spain,Red,Riesling,Bold,92.5
22.32,Italy,Rosé,Pinot Noir,Fresh,93.4
11.27,France,Rosé,Chardonnay,Crisp,89.8
32.2,Spain,White,Sauvignon Blanc,Crisp,90.7
14.76,USA,Rosé,Grenache,Crisp,91.4
11.0,Australia,White,Pinot Noir,Rich,93.1
14.22,Spain,Rosé,Merlot,Light,88.1
14.69,Spain,Rosé,Sangiovese,Crisp,87.2
10.33,Australia,Rosé,Sauvignon Blanc,Crisp,89.8
9.58,Chile,Red,Grenache,Smooth,84.7
12.25,Spain,Red,Merlot,Crisp,92.4
5.22,Argentina,Rosé,Sauvignon Blanc,Smooth,90.3
58.56,Argentina,Red,Syrah,Elegant,96.1
6.73,Argentina,Red,Sangiovese,Smooth,88.8
13.12,France,Red,Merlot,Smooth,93.1
10.56,Chile,White,Riesling,Crisp,86.2
17.3,Australia,Red,Merlot,Bold,94.0
17.39,Chile,White,Sangiovese,Smooth,92.8
8.39,Australia,White,Cabernet Sauvignon,Complex,93.0
4.01,Chile,White,Tempranillo,Complex,92.1
20.16,Argentina,Red,Pinot Noir,Crisp,89.4
15.35,Argentina,Rosé,Sauvignon Blanc,Elegant,91.6
9.18,Australia,Rosé,Cabernet Sauvignon,Rich,88.7
10.33,Italy,Rosé,Grenache,Light,88.2
7.08,Italy,Rosé,Sauvignon Blanc,Smooth,89.8
11.6,Argentina,Rosé,Sangiovese,Bold,90.9
8.25,Argentina,Red,Chardonnay,Bold,90.5
24.07,Chile,Red,Riesling,Light,94.4
4.79,Spain,White,Tempranillo,Rich,90.2
15.65,Italy,Red,Tempranillo,Light,92.4
6.1,Chile,Red,Syrah,Complex,89.9
14.5,France,Rosé,Grenache,Fresh,92.4
41.0,USA,White,Sauvignon Blanc,Light,94.1
65.67,USA,White,Pinot Noir,Smooth,94.6
26.08,Italy,Rosé,Tempranillo,Smooth,91.8
17.24,Australia,Red,Cabernet Sauvignon,Rich,88.4
15.02,France,White,Riesling,Smooth,90.9
6.03,Argentina,White,Sangiovese,Smooth,90.5
14.67,Spain,Red,Riesling,Light,90.9
14.45,Chile,Rosé,Sangiovese,Elegant,93.0
9.21,Spain,White,Pinot Noir,Complex,91.4
13.37,Argentina,Red,Sauvignon Blanc,Elegant,91.5
13.58,USA,Rosé,Riesling,Smooth,87.9
18.69,Australia,Red,Riesling,Smooth,95.3
2.29,France,White,Sangiovese,Light,87.5
21.35,Argentina,Rosé,Tempranillo,Bold,91.5
43.5,Argentina,White,Riesling,Light,91.1
55.14,Australia,White,Merlot,Bold,95.3
30.11,Argentina,Red,Sangiovese,Crisp,93.3
22.52,Italy,Rosé,Sauvignon Blanc,Fresh,92.7
3.89,France,Red,Riesling,Fresh,93.3
3.52,Argentina,Red,Syrah,Rich,88.9
24.65,Italy,White,Pinot Noir,Crisp,95.5
56.26,France,White,Sauvignon Blanc,Bold,98.8
3.87,Australia,Rosé,Riesling,Complex,88.6
6.85,Spain,Red,Sauvignon Blanc,Crisp,91.3
32.03,Chile,Rosé,Sangiovese,Elegant,96.3
24.5,Australia,Rosé,Chardonnay,Smooth,88.4
20.94,USA,White,Chardonnay,Light,91.6
26.92,Argentina,White,Pinot Noir,Light,92.7
6.93,Spain,Red,Grenache,Light,89.0
12.37,USA,White,Chardonnay,Elegant,94.5
15.79,Argentina,White,Syrah,Fresh,88.2
3.26,Chile,White,Grenache,Rich,88.4
23.57,Italy,Rosé,Pinot Noir,Complex,97.0
19.16,France,Rosé,Pinot Noir,Smooth,94.3
8.88,Argentina,White,Tempranillo,Fresh,90.5
33.68,USA,Rosé,Tempranillo,Complex,94.6
6.3,Chile,Rosé,Grenache,Bold,87.5
32.41,Chile,Red,Cabernet Sauvignon,Smooth,92.4
11.59,Italy,White,Chardonnay,Fresh,88.2
4.63,France,White,Sauvignon Blanc,Elegant,92.6
9.76,Argentina,Rosé,Chardonnay,Crisp,89.0
56.12,Spain,White,Grenache,Rich,96.7
23.37,Italy,Red,Sauvignon Blanc,Fresh,92.9
6.79,Chile,Red,Sauvignon Blanc,Rich,90.3
14.19,USA,Rosé,Tempranillo,Light,90.8
20.95,Australia,Red,Riesling,Smooth,94.7
11.56,Argentina,White,Tempranillo,Fresh,90.8
13.51,Argentina,White,Sangiovese,Bold,90.6
3.92,Argentina,White,Riesling,Light,88.0
17.18,Chile,Rosé,Sangiovese,Elegant,92.6
7.64,Italy,Red,Cabernet Sauvignon,Elegant,96.1
3.61,Chile,Rosé,Sangiovese,Bold,81.9
40.26,Australia,Red,Sauvignon Blanc,Complex,98.3
14.19,France,White,Grenache,Fresh,94.2
1.66,Chile,Rosé,Merlot,Light,82.7
18.75,Chile,Red,Tempranillo,Complex,94.4
12.95,Argentina,Rosé,Pinot Noir,Rich,86.9
4.58,Spain,White,Sangiovese,Complex,93.4
3.49,Spain,White,Cabernet Sauvignon,Crisp,90.3
5.18,Italy,White,Sauvignon Blanc,Complex,89.7
6.93,Spain,White,Chardonnay,Bold,89.0
13.19,Italy,Rosé,Pinot Noir,Elegant,90.1
6.04,Italy,Rosé,Sangiovese,Smooth,87.4
14.59,France,Rosé,Grenache,Elegant,95.7
59.85,Australia,Rosé,Merlot,Crisp,92.9
15.52,Chile,White,Sangiovese,Light,91.0
8.87,Australia,Rosé,Riesling,Complex,91.8
3.48,Italy,Red,Sauvignon Blanc,Light,88.7
2.85,Spain,Rosé,Pinot Noir,Light,87.6
11.3,France,Rosé,Sauvignon Blanc,Complex,95.7
28.03,Chile,Red,Chardonnay,Elegant,95.8
6.92,Spain,White,Pinot Noir,Rich,92.6
45.59,France,White,Cabernet Sauvignon,Crisp,96.8
4.33,Argentina,Rosé,Syrah,Smooth,88.1
14.15,Argentina,Red,Grenache,Elegant,91.2
25.9,Chile,Rosé,Syrah,Rich,93.7
28.19,Italy,White,Pinot Noir,Crisp,96.0
18.05,USA,Red,Grenache,Light,92.1
2.64,Australia,Rosé,Grenache,Complex,92.6
11.34,USA,Red,Chardonnay,Fresh,92.8
85.06,Argentina,Rosé,Tempranillo,Elegant,97.5
4.81,Argentina,Red,Cabernet Sauvignon,Complex,91.5
9.05,Italy,White,Sauvignon Blanc,Elegant,93.0
5.78,Argentina,Red,Chardonnay,Smooth,87.1
23.19,Argentina,Rosé,Chardonnay,Crisp,91.1
7.24,Australia,Rosé,Tempranillo,Smooth,87.7
46.92,Argentina,White,Riesling,Complex,96.4
8.92,USA,White,Pinot Noir,Fresh,91.7
7.4,Chile,Red,Chardonnay,Elegant,93.5
4.43,France,Rosé,Pinot Noir,Crisp,86.8
24.29,Argentina,Red,Chardonnay,Rich,94.1
5.68,Australia,Rosé,Sauvignon Blanc,Elegant,90.7
4.68,Italy,Red,Grenache,Rich,93.9
24.89,Australia,Rosé,Pinot Noir,Fresh,95.1
75.59,USA,White,Merlot,Light,93.4
21.55,Chile,Rosé,Sauvignon Blanc,Fresh,86.4
25.6,Argentina,Red,Chardonnay,Fresh,93.6
20.71,Italy,White,Sangiovese,Smooth,91.6
8.48,Italy,Rosé,Cabernet Sauvignon,Elegant,94.1
44.64,USA,White,Chardonnay,Elegant,98.4
21.05,France,Red,Sangiovese,Rich,96.0
4.47,Chile,Red,Riesling,Rich,91.5
6.19,Italy,Red,Merlot,Smooth,94.1
8.72,France,White,Syrah,Light,87.3
11.59,Italy,Red,Pinot Noir,Smooth,95.4
11.62,Italy,Rosé,Syrah,Elegant,96.5
33.27,Australia,Red,Tempranillo,Complex,96.2
21.62,Australia,White,Sangiovese,Elegant,89.9
16.46,Chile,White,Chardonnay,Bold,92.2
14.63,Australia,Red,Cabernet Sauvignon,Bold,89.7
16.35,Spain,Rosé,Sauvignon Blanc,Smooth,90.9
6.41,Argentina,Rosé,Riesling,Smooth,87.0
30.94,Chile,Red,Tempranillo,Elegant,92.4
6.63,USA,Rosé,Sangiovese,Complex,93.4
9.01,France,Red,Pinot Noir,Rich,94.9
4.85,Chile,Rosé,Sangiovese,Bold,88.5
12.98,France,Red,Riesling,Fresh,95.2
2.18,Australia,Red,Syrah,Complex,93.3
9.72,Argentina,Rosé,Tempranillo,Fresh,87.3
11.56,Chile,White,Pinot Noir,Smooth,90.6
33.84,Italy,Red,Cabernet Sauvignon,Rich,96.7
30.5,Australia,Rosé,Cabernet Sauvignon,Crisp,90.8
23.91,USA,Red,Chardonnay,Rich,97.8
9.4,Spain,White,Syrah,Elegant,95.1
11.42,Australia,White,Pinot Noir,Complex,90.0
11.67,Spain,Red,Syrah,Smooth,89.9
27.51,Spain,Rosé,Tempranillo,Elegant,94.6
11.48,Spain,White,Merlot,Crisp,89.6
7.11,USA,White,Cabernet Sauvignon,Light,86.9
5.04,Argentina,Rosé,Tempranillo,Bold,88.5
6.96,Spain,Red,Sauvignon Blanc,Elegant,95.2
15.74,Australia,Red,Riesling,Elegant,94.9
32.43,Spain,Red,Tempranillo,Elegant,93.6
5.57,France,Rosé,Tempranillo,Light,86.5
17.16,Italy,Red,Riesling,Bold,94.8
12.97,Chile,Rosé,Cabernet Sauvignon,Crisp,83.9
2.34,Australia,Red,Sangiovese,Rich,88.3
2.9,Argentina,Red,Riesling,Smooth,85.4
5.6,France,White,Tempranillo,Elegant,89.0
9.61,Italy,White,Syrah,Fresh,90.8
5.49,Spain,Red,Cabernet Sauvignon,Smooth,90.5
4.98,France,Rosé,Riesling,Light,88.5
6.58,Australia,Rosé,Chardonnay,Light,87.2
59.8,Chile,Red,Merlot,Smooth,94.9
6.58,Argentina,Rosé,Chardonnay,Bold,87.9
18.26,USA,White,Riesling,Crisp,94.8
4.0,Argentina,Rosé,Cabernet Sauvignon,Fresh,84.8
19.06,Chile,Rosé,Sauvignon Blanc,Light,87.3
21.02,France,White,Cabernet Sauvignon,Light,93.3
7.1,Argentina,White,Chardonnay,Fresh,88.1
7.85,Spain,Rosé,Merlot,Smooth,88.8
16.3,USA,Rosé,Grenache,Crisp,91.0
15.81,France,White,Sangiovese,Elegant,97.9
1.74,Australia,Rosé,Tempranillo,Smooth,83.1
10.11,France,Red,Grenache,Bold,94.5
17.24,Australia,White,Sauvignon Blanc,Complex,95.5
13.81,Italy,Rosé,Tempranillo,Bold,94.7
6.13,Spain,White,Riesling,Bold,92.3
6.28,Argentina,Rosé,Sauvignon Blanc,Crisp,85.4
13.48,Australia,Rosé,Syrah,Smooth,88.7
8.07,Argentina,Rosé,Tempranillo,Elegant,89.5
1.46,Italy,Rosé,Sangiovese,Complex,92.5
21.55,France,Red,Grenache,Elegant,97.0
3.29,France,Rosé,Riesling,Fresh,89.6
26.47,Argentina,Red,Pinot Noir,Complex,93.1
9.57,USA,Red,Chardonnay,Elegant,89.3
12.7,Argentina,White,Sauvignon Blanc,Rich,92.1
13.61,Italy,White,Grenache,Fresh,91.2
9.38,USA,Rosé,Merlot,Fresh,89.0
31.33,Spain,Rosé,Sauvignon Blanc,Light,89.6
12.63,USA,Red,Cabernet Sauvignon,Crisp,92.2
20.93,Chile,Rosé,Merlot,Smooth,93.0
7.82,Spain,Red,Pinot Noir,Smooth,94.3
15.99,France,Red,Grenache,Crisp,94.1
9.97,Chile,Red,Tempranillo,Smooth,88.5
5.63,Chile,Rosé,Tempranillo,Elegant,92.7
36.4,Spain,Rosé,Tempranillo,Complex,92.9
30.39,Argentina,Rosé,Cabernet Sauvignon,Bold,88.4
95.19,Australia,White,Sangiovese,Crisp,91.4
7.93,Argentina,White,Chardonnay,Crisp,89.6
24.62,Australia,Red,Sauvignon Blanc,Light,90.3
5.06,France,Rosé,Chardonnay,Bold,91.3
5.8,Italy,White,Syrah,Elegant,93.7
10.37,Chile,Red,Merlot,Complex,94.3
14.36,France,Rosé,Merlot,Complex,93.3
2.11,Australia,Rosé,Cabernet Sauvignon,Smooth,88.9
11.76,Chile,Rosé,Merlot,Rich,86.4
27.54,Argentina,Rosé,Syrah,Complex,90.7
5.34,Italy,Rosé,Cabernet Sauvignon,Light,86.6
18.43,Italy,White,Syrah,Bold,92.7
43.88,Chile,Red,Tempranillo,Fresh,96.9
12.9,USA,White,Sangiovese,Smooth,89.5
32.64,USA,Rosé,Sangiovese,Rich,90.7
5.0,France,Rosé,Pinot Noir,Rich,89.2
11.18,USA,Rosé,Merlot,Fresh,92.8
17.88,Italy,Red,Grenache,Bold,95.2
20.48,Argentina,White,Syrah,Elegant,92.3
6.3,Australia,White,Chardonnay,Complex,91.2
2.86,USA,Red,Chardonnay,Fresh,88.0
6.39,Argentina,Rosé,Sangiovese,Complex,87.3
19.06,Chile,White,Pinot Noir,Bold,92.3
22.38,Italy,Rosé,Cabernet Sauvignon,Bold,95.3
31.68,Argentina,White,Tempranillo,Elegant,95.7
5.5,Spain,White,Chardonnay,Complex,91.7
4.5,USA,Rosé,Sangiovese,Rich,93.3
35.63,Argentina,Rosé,Tempranillo,Elegant,91.8
3.65,France,Rosé,Riesling,Complex,90.3
9.14,France,Rosé,Tempranillo,Crisp,95.4
6.96,Chile,White,Tempranillo,Elegant,92.6
4.92,France,White,Sangiovese,Crisp,92.6
5.27,Italy,Rosé,Riesling,Bold,90.4
31.63,Chile,Rosé,Sangiovese,Crisp,87.4
10.87,Spain,Rosé,Syrah,Bold,91.4
27.76,Chile,Rosé,Pinot Noir,Elegant,94.4
23.0,France,Rosé,Riesling,Fresh,92.4
4.97,Spain,White,Sauvignon Blanc,Rich,89.4
19.74,France,Rosé,Cabernet Sauvignon,Crisp,90.3
6.6,Australia,Red,Cabernet Sauvignon,Smooth,86.0
7.71,Italy,White,Merlot,Fresh,91.8
10.35,Italy,Rosé,Sangiovese,Fresh,89.5
27.04,Australia,White,Chardonnay,Rich,92.1
14.17,Australia,White,Merlot,Elegant,90.0
8.1,Australia,Red,Riesling,Elegant,93.1
14.47,Chile,Red,Chardonnay,Bold,91.2
32.89,Australia,White,Grenache,Complex,95.3
4.67,Italy,Rosé,Merlot,Smooth,84.4
2.42,Chile,Red,Tempranillo,Rich,89.1
22.98,Spain,Red,Sauvignon Blanc,Complex,96.0
30.11,Italy,Red,Chardonnay,Elegant,96.7
17.87,Argentina,Red,Riesling,Crisp,92.1
13.73,France,Rosé,Cabernet Sauvignon,Rich,92.7
12.52,Italy,Rosé,Cabernet Sauvignon,Smooth,89.0
22.57,USA,White,Merlot,Fresh,91.6
6.21,France,Red,Sangiovese,Light,93.5
46.04,Spain,Rosé,Grenache,Rich,93.0
15.21,Italy,White,Tempranillo,Complex,95.4
25.22,USA,White,Cabernet Sauvignon,Smooth,92.0
8.74,Italy,White,Syrah,Crisp,91.6
15.63,Spain,White,Chardonnay,Complex,94.3
4.17,Chile,Rosé,Syrah,Fresh,87.2
7.43,Australia,White,Chardonnay,Elegant,89.5
2.32,Italy,Red,Merlot,Fresh,89.5
25.21,Chile,Rosé,Sangiovese,Fresh,91.4
14.08,Australia,Red,Pinot Noir,Rich,95.9
19.47,USA,Rosé,Riesling,Complex,94.1
9.42,USA,White,Cabernet Sauvignon,Rich,92.0
13.06,Italy,White,Chardonnay,Elegant,99.1
4.6,Spain,White,Grenache,Light,88.4
12.53,Chile,White,Syrah,Smooth,86.1
6.46,Italy,White,Pinot Noir,Light,90.4
7.41,Argentina,White,Tempranillo,Fresh,87.9
10.94,Argentina,Red,Tempranillo,Complex,94.6
16.12,Italy,Rosé,Grenache,Rich,91.3
81.79,Chile,Red,Grenache,Crisp,94.1
4.75,Italy,Red,Syrah,Rich,93.1
31.36,Argentina,Red,Cabernet Sauvignon,Bold,94.9
27.91,Argentina,White,Tempranillo,Light,87.8
32.79,Chile,Red,Cabernet Sauvignon,Light,92.7
12.91,Spain,Red,Cabernet Sauvignon,Complex,95.5
37.64,Italy,Rosé,Chardonnay,Light,92.0
9.37,Argentina,White,Grenache,Rich,92.1
17.47,Spain,Red,Riesling,Rich,95.1
7.93,Australia,Red,Merlot,Complex,93.6
5.21,France,Red,Cabernet Sauvignon,Bold,93.2
54.62,Italy,Rosé,Sauvignon Blanc,Bold,98.2
3.05,Italy,Red,Cabernet Sauvignon,Light,88.3
5.8,Australia,White,Cabernet Sauvignon,Rich,92.7
12.19,Argentina,Rosé,Syrah,Bold,89.7
10.05,Australia,Rosé,Pinot Noir,Light,85.3
10.86,Italy,White,Cabernet Sauvignon,Light,92.3
8.6,France,White,Pinot Noir,Rich,94.2
7.52,Argentina,Rosé,Cabernet Sauvignon,Fresh,84.5
17.56,Chile,White,Chardonnay,Complex,96.4
9.06,Chile,White,Sangiovese,Bold,90.3
74.22,USA,Rosé,Syrah,Elegant,95.3
3.93,Argentina,Red,Grenache,Rich,90.2
3.67,USA,Red,Grenache,Crisp,89.4
32.52,France,White,Cabernet Sauvignon,Bold,96.9
41.53,USA,White,Sauvignon Blanc,Smooth,96.5
7.37,Italy,Red,Tempranillo,Fresh,91.8
5.18,USA,White,Chardonnay,Smooth,87.1
20.85,USA,White,Chardonnay,Elegant,98.1
2.75,Australia,White,Riesling,Bold,90.8
27.29,Chile,Red,Pinot Noir,Complex,94.5
30.93,Chile,Rosé,Sauvignon Blanc,Crisp,89.7
10.1,Australia,Rosé,Pinot Noir,Light,87.3
23.54,France,Rosé,Pinot Noir,Bold,95.7
13.79,Australia,Red,Riesling,Complex,91.6
13.56,Argentina,White,Tempranillo,Elegant,92.7
5.71,Argentina,White,Merlot,Rich,90.7
19.38,France,Rosé,Chardonnay,Light,93.0
8.87,Chile,Red,Chardonnay,Light,87.2
16.19,France,White,Merlot,Elegant,96.0
19.19,Argentina,Red,Syrah,Light,88.8
2.35,Australia,White,Sauvignon Blanc,Smooth,88.4
23.78,Italy,Red,Riesling,Light,91.9
17.37,Italy,White,Tempranillo,Smooth,89.3
12.23,France,White,Riesling,Elegant,96.6
11.9,USA,White,Tempranillo,Elegant,92.9
12.47,Italy,White,Sangiovese,Crisp,90.5
82.48,Chile,Rosé,Sangiovese,Rich,94.6
6.63,France,White,Grenache,Elegant,93.5
8.73,Italy,White,Syrah,Crisp,92.6
8.55,Chile,Rosé,Tempranillo,Complex,93.9
